,C10,SVEC,RAW
377,0.3447622,0.42138425,0.23385356
378,0.36954606,0.19094428,0.43950966
379,0.36018988,0.41244563,0.22736444
380,0.4769226,0.2990063,0.22407107
381,0.5081805,0.32532328,0.16649623
382,0.43727943,0.39027074,0.1724498
383,0.33754396,0.22635311,0.43610296
384,0.36163577,0.22701028,0.411354
385,0.27818072,0.34416035,0.37765896
386,0.31934243,0.24194226,0.4387153
387,0.40308985,0.1976657,0.39924443
388,0.3207392,0.37698174,0.30227903
389,0.30507755,0.39765772,0.2972647
390,0.37734848,0.47489166,0.14775991
391,0.35271797,0.39180982,0.2554722
392,0.3240339,0.19244812,0.483518
393,0.29334357,0.15623775,0.5504186
394,0.4416918,0.2148357,0.34347254
395,0.38784897,0.49458012,0.11757092
396,0.29329458,0.41578513,0.29092032
397,0.38676757,0.33406004,0.27917236
398,0.39014792,0.43063682,0.17921527
399,0.42806906,0.31067443,0.26125646
400,0.39109048,0.43837455,0.17053495
401,0.21546666,0.1976286,0.5869047
402,0.18709597,0.39297977,0.41992432
403,0.4379902,0.44890025,0.113109596
404,0.29748574,0.47717682,0.22533748
405,0.2884391,0.39453754,0.31702343
406,0.36088935,0.42269903,0.21641162
407,0.30077842,0.35266793,0.34655362
408,0.31186625,0.32733336,0.36080042
409,0.37211892,0.12416371,0.50371736
410,0.33460867,0.312133,0.35325834
411,0.41249695,0.41257164,0.17493142
412,0.30291831,0.37890416,0.31817752
413,0.4202202,0.28584483,0.29393497
414,0.41184646,0.36143866,0.22671483
415,0.38581082,0.35870898,0.2554802
416,0.3513661,0.3385791,0.31005478
417,0.33877638,0.40283835,0.25838527
418,0.45615855,0.4028523,0.14098915
419,0.38249424,0.3118731,0.3056327
420,0.36473674,0.5241828,0.1110805
421,0.22073895,0.38378665,0.39547446
422,0.22354282,0.38119048,0.3952667
423,0.26953676,0.3481911,0.38227212
424,0.46237883,0.3105995,0.22702171
425,0.41074938,0.2727624,0.31648824
426,0.27137342,0.3647021,0.36392453
427,0.16833453,0.2928664,0.53879905
428,0.386012,0.26315957,0.35082844
429,0.40130314,0.35733324,0.24136357
430,0.42925176,0.19581577,0.37493247
431,0.32380047,0.29930365,0.37689584
432,0.18697384,0.28759345,0.5254327
433,0.48134068,0.34406346,0.17459588
434,0.29745144,0.13933213,0.56321645
435,0.41947043,0.41095245,0.1695772
436,0.3386196,0.33769086,0.3236896
437,0.34589487,0.26718816,0.386917
438,0.29930657,0.30448192,0.3962115
439,0.40211445,0.15548544,0.44240013
440,0.17778514,0.33006993,0.49214485
441,0.3165515,0.2867261,0.39672232
